No,Country or Area,ISO-alpha3 Code,M49 Code,Region 1
4,DZ,DZA,12,Northern
7,AO,AGO,24,Middle
24,BJ,BEN,204,Western
30,BW,BWA,72,Southern
33,IO,IOT,86,Eastern
37,BF,BFA,854,Western
38,BI,BDI,108,Eastern
39,CV,CPV,132,Western
41,CM,CMR,120,Middle
44,CF,CAF,140,Middle
45,TD,TCD,148,Middle
53,KM,COM,174,Eastern
54,CG,COG,178,Middle
57,CI,CIV,384,Western
64,CD,COD,180,Middle
66,DJ,DJI,262,Eastern
70,EG,EGY,818,Northern
72,GQ,GNQ,226,Middle
73,ER,ERI,232,Eastern
75,SZ,SWZ,748,Southern
76,ET,ETH,231,Eastern
84,TF,ATF,260,Eastern
85,GA,GAB,266,Middle
86,GM,GMB,270,Western
89,GH,GHA,288,Western
98,GN,GIN,324,Western
99,GW,GNB,624,Western
120,KE,KEN,404,Eastern
127,LS,LSO,426,Southern
128,LR,LBR,430,Western
129,LY,LBY,434,Northern
133,MG,MDG,450,Eastern
134,MW,MWI,454,Eastern
137,ML,MLI,466,Western
141,MR,MRT,478,Western
142,MU,MUS,480,Eastern
143,YT,MYT,175,Eastern
150,MA,MAR,504,Northern
151,MZ,MOZ,508,Eastern
153,NA,NAM,516,Southern
160,NE,NER,562,Western
161,NG,NGA,566,Western
182,RE,REU,638,Eastern
185,RW,RWA,646,Eastern
187,SH,SHN,654,Western
195,ST,STP,678,Middle
198,SN,SEN,686,Western
200,SC,SYC,690,Eastern
201,SL,SLE,694,Western
207,SO,SOM,706,Eastern
208,ZA,ZAF,710,Southern
210,SS,SSD,728,Eastern
214,SD,SDN,729,Northern
223,TG,TGO,768,Western
227,TN,TUN,788,Northern
232,UG,UGA,800,Eastern
236,TZ,TZA,834,Eastern
246,EH,ESH,732,Northern
248,ZM,ZMB,894,Eastern
249,ZW,ZWE,716,Eastern
