No,Country or Area,ISO-alpha3 Code,M49 Code,Region 1
1,AF,AFG,4,Southern
12,AM,ARM,51,Western
16,AZ,AZE,31,Western
18,BH,BHR,48,Western
19,BD,BGD,50,Southern
26,BT,BTN,64,Southern
35,BN,BRN,96,South-eastern
40,KH,KHM,116,South-eastern
47,CN,CHN,156,Eastern
48,HK,HKG,344,Eastern
49,MO,MAC,446,Eastern
61,CY,CYP,196,Western
63,KP,PRK,408,Eastern
87,GE,GEO,268,Western
107,IN,IND,356,Southern
108,ID,IDN,360,South-eastern
109,IR,IRN,364,Southern
110,IQ,IRQ,368,Western
113,IL,ISR,376,Western
116,JP,JPN,392,Eastern
118,JO,JOR,400,Western
119,KZ,KAZ,398,Central
122,KW,KWT,414,Western
123,KG,KGZ,417,Central
124,LA,LAO,418,South-eastern
126,LB,LBN,422,Western
135,MY,MYS,458,South-eastern
136,MV,MDV,462,Southern
147,MN,MNG,496,Eastern
152,MM,MMR,104,South-eastern
155,NP,NPL,524,Southern
167,OM,OMN,512,Western
168,PK,PAK,586,Southern
174,PH,PHL,608,South-eastern
179,QA,QAT,634,Western
180,KR,KOR,410,Eastern
197,SA,SAU,682,Western
202,SG,SGP,702,South-eastern
212,LK,LKA,144,Southern
213,PS,PSE,275,Western
219,SY,SYR,760,Western
220,TJ,TJK,762,Central
221,TH,THA,764,South-eastern
222,TL,TLS,626,South-eastern
228,TR,TUR,792,Western
229,TM,TKM,795,Central
234,AE,ARE,784,Western
241,UZ,UZB,860,Central
244,VN,VNM,704,South-eastern
247,YE,YEM,887,Western
0,TW,TWN,0,Eastern
0,XP,XPK,0,Southern
