No,Country or Area,ISO-alpha3 Code,M49 Code,Region 1
8,AI,AIA,660,Caribbean
10,AG,ATG,28,Caribbean
13,AW,ABW,533,Caribbean
17,BS,BHS,44,Caribbean
20,BB,BRB,52,Caribbean
23,BZ,BLZ,84,Central
25,BM,BMU,60,Northern
28,BQ,BES,535,Caribbean
34,VG,VGB,92,Caribbean
42,CA,CAN,124,Northern
43,KY,CYM,136,Caribbean
56,CR,CRI,188,Central
59,CU,CUB,192,Caribbean
60,CW,CUW,531,Caribbean
67,DM,DMA,212,Caribbean
68,DO,DOM,214,Caribbean
71,SV,SLV,222,Central
92,GL,GRL,304,Northern
93,GD,GRD,308,Caribbean
94,GP,GLP,312,Caribbean
96,GT,GTM,320,Central
101,HT,HTI,332,Caribbean
104,HN,HND,340,Central
115,JM,JAM,388,Caribbean
140,MQ,MTQ,474,Caribbean
144,MX,MEX,484,Central
149,MS,MSR,500,Caribbean
159,NI,NIC,558,Central
170,PA,PAN,591,Central
178,PR,PRI,630,Caribbean
186,BL,BLM,652,Caribbean
188,KN,KNA,659,Caribbean
189,LC,LCA,662,Caribbean
190,MF,MAF,663,Caribbean
191,PM,SPM,666,Northern
192,VC,VCT,670,Caribbean
203,SX,SXM,534,Caribbean
226,TT,TTO,780,Caribbean
230,TC,TCA,796,Caribbean
238,US,USA,840,Northern
239,VI,VIR,850,Caribbean
