No,Country or Area,ISO-alpha3 Code,M49 Code,Region 1
5,AS,ASM,16,Polynesia
14,AU,AUS,36,Australia and New Zealand
50,CX,CXR,162,Australia and New Zealand
51,CC,CCK,166,Australia and New Zealand
55,CK,COK,184,Polynesia
79,FJ,FJI,242,Melanesia
83,PF,PYF,258,Polynesia
95,GU,GUM,316,Micronesia
102,HM,HMD,334,Australia and New Zealand
121,KI,KIR,296,Micronesia
139,MH,MHL,584,Micronesia
145,FM,FSM,583,Micronesia
154,NR,NRU,520,Micronesia
157,NC,NCL,540,Melanesia
158,NZ,NZL,554,Australia and New Zealand
162,NU,NIU,570,Polynesia
163,NF,NFK,574,Australia and New Zealand
165,MP,MNP,580,Micronesia
169,PW,PLW,585,Micronesia
171,PG,PNG,598,Melanesia
175,PN,PCN,612,Polynesia
193,WS,WSM,882,Polynesia
206,SB,SLB,90,Melanesia
224,TK,TKL,772,Polynesia
225,TO,TON,776,Polynesia
231,TV,TUV,798,Polynesia
237,UM,UMI,581,Micronesia
242,VU,VUT,548,Melanesia
245,WF,WLF,876,Polynesia
