CURRENCY,UNITS PER XAU,XAU PER UNIT
USD,2063.075669,0.000484713
EUR,1867.469309,0.000535484
GBP,1623.032922,0.00061613
INR,171818.5493,5.82009E-06
AUD,3028.19518,0.00033023
CAD,2721.6515,0.000367424
SGD,2725.718201,0.000366876
CHF,1735.783385,0.000576109
MYR,9479.703682,0.000105489
JPY,290959.0612,3.43691E-06
CNY,14618.92713,6.84045E-05
NZD,3266.374478,0.00030615
THB,70931.59644,1.40981E-05
HUF,716540.8983,1.39559E-06
AED,7576.645395,0.000131985
HKD,16129.11172,6.19997E-05
MXN,35008.01622,2.85649E-05
ZAR,37780.01052,2.6469E-05
PHP,114292.3022,8.7495E-06
SEK,20832.31554,4.80023E-05
IDR,31757785.67,3.15E-08
BRL,10011.1898,9.98882E-05
SAR,7736.533759,0.000129257
TRY,60892.03132,1.64225E-05
KES,323878.74,3.08758E-06
KRW,2670625.058,3.74E-07
EGP,63806.56129,1.56724E-05
IQD,2706621.66,3.69E-07
NOK,20987.38717,4.76477E-05
KWD,633.9659383,0.001577372
RUB,183514.5145,5.44916E-06
DKK,13952.18376,7.16734E-05
PKR,580053.1548,1.72398E-06
ILS,7432.424672,0.000134546
PLN,8088.966633,0.000123625
QAR,7509.595435,0.000133163
XAU,1,1
OMR,794.2508348,0.001259048
COP,7994855.007,1.25E-07
CLP,1821777.848,5.49E-07
TWD,63332.07976,1.57898E-05
ARS,1667933.181,6.00E-07
CZK,46146.36655,2.16702E-05
VND,50069062.11,2.00E-08
MAD,20355.44932,4.91269E-05
JOD,1462.720649,0.000683658
BHD,775.7164516,0.001289131
XOF,1224979.565,8.16E-07
LKR,668219.6584,1.49651E-06
UAH,78701.95446,1.27062E-05
NGN,1848507.843,5.41E-07
TND,6334.286361,0.000157871
UGX,7797937.471,1.28E-07
RON,9294.559382,0.00010759
BDT,226408.2556,4.4168E-06
PEN,7633.179934,0.000131007
GEL,5549.173288,0.000180207
XAF,1224979.565,8.16E-07
FJD,4522.442529,0.000221119
VEF,7402259659,1.35E-10
VES,74022.59659,1.35094E-05
BYN,6808.103114,0.000146884
UZS,25460995.8,3.93E-08
BGN,3652.452498,0.000273789
DZD,277152.9795,3.60812E-06
IRR,86849495.42,1.15E-08
DOP,119629.6014,8.35914E-06
ISK,280576.7128,3.56409E-06
CRC,1075307.083,9.30E-07
XAG,86.73563204,0.011529287
SYP,26823691.17,3.73E-08
JMD,319225.6542,3.13258E-06
LYD,9839.656025,0.00010163
GHS,24680.64048,4.05176E-05
MUR,90772.00641,1.10166E-05
AOA,1736407.017,5.76E-07
UYU,80583.48752,1.24095E-05
AFN,146105.1301,6.84439E-06
LBP,30995760.76,3.23E-08
XPF,222848.3662,4.48736E-06
TTD,14011.52279,7.13698E-05
TZS,5175760.527,1.93E-07
ALL,194128.5747,5.15123E-06
XCD,5570.770231,0.000179508
GTQ,16145.39002,6.19372E-05
NPR,275038.5427,3.63585E-06
BOB,14262.57739,7.01136E-05
ZWD,746627.0846,1.33936E-06
BBD,4126.151338,0.000242357
CUC,2063.075669,0.000484713
LAK,42392842.64,2.36E-08
BND,2725.718201,0.000366876
BWP,27688.3429,3.61163E-05
HNL,50944.28434,1.96293E-05
PYG,15048544.31,6.65E-08
ETB,116295.9807,8.59875E-06
NAD,37780.01052,2.6469E-05
PGK,7689.438632,0.000130049
SDG,1239686.118,8.07E-07
MOP,16612.98507,6.01939E-05
BMD,2063.075669,0.000484713
NIO,75574.79767,1.32319E-05
BAM,3652.452498,0.000273789
KZT,939264.6432,1.06466E-06
PAB,2063.075669,0.000484713
GYD,431464.5921,2.31769E-06
YER,516210.8109,1.93719E-06
MGA,9492543.387,1.05E-07
KYD,1691.814137,0.000591081
MZN,131722.5994,7.59171E-06
RSD,219118.2324,4.56375E-06
SCR,27733.24295,3.60578E-05
AMD,833015.4572,1.20046E-06
AZN,3507.10587,0.000285135
SBD,17483.51999,5.71967E-05
SLL,47027946.63,2.13E-08
TOP,4812.019509,0.000207813
BZD,4160.636296,0.000240348
GMD,138923.3994,7.19821E-06
MWK,3476081.548,2.88E-07
BIF,5874578.903,1.70E-07
HTG,272490.3875,3.66985E-06
SOS,1181518.46,8.46E-07
GNF,17749764.31,5.63E-08
MNT,7096387.421,1.41E-07
MVR,31774.6634,3.14716E-05
CDF,5532821.492,1.81E-07
STN,45627.95013,2.19164E-05
TJS,22639.66394,4.41703E-05
KPW,1856786.14,5.39E-07
KGS,183789.6869,5.441E-06
LRD,389044.6001,2.5704E-06
LSL,37780.01052,2.6469E-05
MMK,4335724.355,2.31E-07
GIP,1623.032922,0.00061613
XPT,2.068017551,0.48355489
MDL,36012.23128,2.77683E-05
CUP,49562.9292,2.01764E-05
KHR,8441167.289,1.18E-07
MKD,114880.4649,8.7047E-06
VUV,242151.1821,4.12965E-06
ANG,3692.969492,0.000270785
MRU,81367.72525,1.22899E-05
SZL,37780.01052,2.6469E-05
CVE,205925.8407,4.85612E-06
SRD,75782.57447,1.31956E-05
SVC,18051.9121,5.53958E-05
XPD,1.865246971,0.536122034
BSD,2063.075669,0.000484713
XDR,1535.856588,0.000651102
RWF,2599052.238,3.85E-07
AWG,3692.905448,0.000270789
BTN,171818.5493,5.82009E-06
DJF,366767.9392,2.72652E-06
KMF,918734.6741,1.08845E-06
ERN,30946.13504,3.23142E-05
FKP,1623.032922,0.00061613
SHP,1623.032922,0.00061613
SPL,343.8459435,0.002908279
WST,5566.791178,0.000179637
JEP,1623.032922,0.00061613
TMT,7207.454405,0.000138745
GGP,1623.032922,0.00061613
IMP,1623.032922,0.00061613
