Currency,Units per XAU
USD,1919.411792
EUR,1759.15339
GBP,1513.383801
INR,157514.1157
AUD,2880.368488
CAD,2542.049888
SGD,2595.65278
CHF,1718.879361
MYR,8956.797994
JPY,276980.9158
CNY,13919.12182
NZD,3127.262584
THB,67727.21759
HUF,655578.1177
AED,7049.039806
HKD,15041.35157
MXN,32858.70384
ZAR,36167.50671
PHP,106098.5304
SEK,20706.92727
IDR,28782903.66
BRL,9191.699943
SAR,7197.79422
TRY,49946.61647
KES,269924.1658
KRW,2526063.588
EGP,59312.04521
IQD,2515020.634
NOK,20657.73239
KWD,591.9494946
RUB,170492.915
DKK,13095.46617
PKR,549496.0062
ILS,7122.531959
PLN,7797.719663
QAR,6986.658923
XAU,1
OMR,738.973694
COP,8029360.45
CLP,1539036.675
TWD,59872.625
ARS,492494.2198
CZK,41792.7489
VND,45257622.36
MAD,19001.98782
JOD,1360.862961
BHD,721.6988338
XOF,1153928.98
LKR,591248.6369
UAH,70414.07377
NGN,1459449.927
TND,5930.002679
UGX,7038618.263
RON,8720.462979
BDT,208401.1812
PEN,6931.787444
GEL,5015.615413
XAF,1153928.98
FJD,4336.951504
VEF,5334569834
VES,53345.69834
BYN,4846.514949
UZS,22140414.99
BGN,3440.604974
DZD,262292.0783
IRR,80620592.36
DOP,105069.7113
ISK,261384.7478
CRC,1051994.166
XAG,84.32452647
SYP,4821622.682
JMD,292379.0072
LYD,9226.733927
GHS,21080.77401
MUR,87428.92174
AOA,1579665.424
UYU,72101.55813
AFN,165155.4382
LBP,28729153.91
XPF,209922.8389
TTD,13043.08372
TZS,4630627.875
ALL,186900.5752
XCD,5182.518596
GTQ,15061.45586
NPR,252140.7207
BOB,13292.07472
ZWD,694635.1275
BBD,3838.823584
CUC,1919.411792
LAK,36087692.33
BND,2595.65278
BWP,25867.5916
HNL,47245.82366
PYG,14000954.9
ETB,104799.9376
NAD,36167.50671
PGK,6756.51931
SDG,1151547.349
MOP,15492.59212
BMD,1919.411792
NIO,70202.58818
BAM,3440.604974
KZT,864295.0269
PAB,1919.411792
GYD,406894.4464
YER,480251.692
MGA,8690028.021
KYD,1573.927543
MZN,122316.4709
RSD,206275.3471
SCR,26800.93335
AMD,742266.7138
AZN,3273.069764
SBD,16062.34588
SLL,36353765.17
TOP,4495.089979
BZD,3867.993503
GMD,114299.187
MWK,2016266.825
BIF,5410201.131
HTG,265804.9354
SOS,1091190.271
GNF,16398604.93
MNT,6595370.191
MVR,29667.55348
CDF,4518295.376
STN,43186.80233
TJS,20978.52905
KPW,1727470.613
KGS,167375.5915
LRD,341597.2495
LSL,36167.50671
MMK,4022645.924
GIP,1513.383801
XPT,2.125781923
MDL,35087.11821
CUP,45905.27582
KHR,7926435.249
MKD,107979.3598
VUV,228256.6448
ANG,3430.573386
MRU,66468.78914
SZL,36167.50671
CVE,193981.8443
SRD,72841.62669
SVC,16794.85318
XPD,1.556371918
BSD,1919.411792
XDR,1442.819615
RWF,2229370.367
AWG,3435.747108
BTN,157514.1157
DJF,341763.4421
KMF,865446.7351
ERN,28791.17688
FKP,1513.383801
SHP,1513.383801
SPL,319.9019641
WST,5149.996153
JEP,1513.383801
TMT,6718.095349
GGP,1513.383801
IMP,1513.383801
TVD,2880.368488
ZMW,33972.37516
ADA,6652.605479
BCH,6.602832196
BTC,0.062791922
CLF,42.63013606
CNH,13949.4134
DOGE,28293.02663
DOT,362.9648947
ETH,0.997963787
LINK,302.8767366
LTC,18.20937976
LUNA,2595.522053
MXV,4219.231702
SLE,36353.76517
UNI,352.0927818
VED,53345.69834
XBT,0.062791922
XLM,17861.38382
XRP,4068.652787
ZWL,11014598.36
