District,City,Area,Population,,,,
District of Peja,Peja,"1,365","174,235",,,,
District of Mitrovica,Mitrovica,"2,077","272,247",,,,
District of Pristina,Pristina,"2,470","477,312",,,,
District of Gjilan,Gjilan,"1,206","180,783",,,,
District of Gjakova,Gjakova,"1,129","194,672",,,,
District of Prizren,Prizren,"1,397","331,670",,,,
District of Ferizaj,Ferizaj,"1,030","185,806",,,,
,,"10,674","1,816,725",,,,
County,Seat,Municipalities,NUTS-2,Area km2,Population (2020)[4],Emblem,Geographic coordinates
Berat,Berat,"Berat, Kuçovë, Poliçan, Skrapar, Ura Vajgurore",Southern Region,"1,798","122,003",Emblem of Berat County,40°44′N 19°59′E
Dibër,Peshkopi,"Bulqizë, Dibër, Klos, Mat",Northern Region,"2,586","115,857",Emblem of Dibër County,41°42′N 20°22′E
Durrës,Durrës,"Durrës, Krujë, Shijak",Northern Region,766,"290,697",Emblem of Durrës County,41°23′N 19°30′E
Elbasan,Elbasan,"Belsh, Cërrik, Elbasan, Gramsh, Librazhd, Peqin, Prrenjas",Central Region,"3,199","270,074",Emblem of Elbasan County,41°6′N 20°8′E
Fier,Fier,"Divjakë, Fier, Lushnjë, Mallakastër, Patos, Roskovec",Southern Region,"1,890","289,889",Emblem of Fier County,44°46′N 19°37′E
Gjirokastër,Gjirokastër,"Dropull, Gjirokastër, Këlcyrë, Libohovë, Memaliaj, Përmet, Tepelenë",Southern Region,"2,884","59,381",Emblem of Gjirokastër County,40°12′N 20°15′E
Korçë,Korçë,"Devoll, Kolonjë, Korçë, Maliq, Pogradec, Pustec",Southern Region,"3,711","204,831",Emblem of Korçë County,40°40′N 20°48′E
Kukës,Kukës,"Has, Kukës, Tropojë",Northern Region,"2,374","75,428",Emblem of Kukës County,42°7′N 20°25′E
Lezhë,Lezhë,"Kurbin, Lezhë, Mirditë",Northern Region,"1,620","122,700",Emblem of Lezhë County,41°49′N 19°41′E
Shkodër,Shkodër,"Fushë-Arrëz, Malësi e Madhe, Pukë, Shkodër, Vau i Dejës",Northern Region,"3,562","200,007",Emblem of Shkodër County,42°6′N 19°37′E
Tirana,Tirana,"Kamëz, Kavajë, Rrogozhinë, Tirana, Vorë",Central Region,"1,652","906,166",Emblem of Tirana County,41°6′N 20°8′E
Vlorë,Vlorë,"Delvinë, Finiq, Himarë, Konispol, Sarandë, Selenicë, Vlorë",Southern Region,"2,706","188,922",Emblem of Vlorë County,40°30′N 19°37′E
,,,,"28,748","2,845,955",,
